,4KiB,THP,ET,Hawkeye
Astar,687791784571,669667657780,683671152263,662138532509
Omnetpp,1243273410067,1216151660463,1309419592754,1385147916418
Streamcluster,3097004777008,3028552128082,3094384917317,3017027479711
BFS,14557250283,13553708768,12832352396,13802337497
Canneal,499724675069,410262063281,416167035011,414698453768
XSBench,342053749560,311336395730,314208709195,313937210728
BTree,7350998017,4745647381,4807038163,4788531782
SVM,430128014029,296365839005,112187593970,303548377881
Hashjoin,35190424826,26424788812,26303729606,27953939273
Gups,1751338898317,1471733158408,1349023546352,1364175709426
