,4KiB,THP,mTHP,Hawkeye,ET,ET-offline
Streamcluster,3083397544235,3039159300976,3045076877340,3055962389357,3070601380455,3079640147559
Astar,553850820271,524348914168,548089386569,521730614332,528466628387,521187059953
Omnetpp,1158391410639,1118136743718,1119371283085,1092652153594,1106808395923,1073040136241
BFS,14232665854,13175922788,13464587047,12401272629,12435348036,13271981084
Canneal,480367268802,409913330867,411763825923,421365176827,410164004666,478547617611
XSBench,316843018110,297955180777,306724750495,312325881302,312517536025,322848646798
BTree,6804687224,4666490478,4678463868,4682721896,4713325963,6319832365
SVM,409168229852,312183580985,313122539289,274114365253,277108123853,384193153780
Hashjoin,32666995828,21984208773,27391202268,21586442814,21821524765,29792625505
Gups,1810814539126,1361718464167,1963132875724,1310699741289,1329869347633,1865696492850
