,4KiB,THP,mTHP,Hawkeye,ET,ET-offline
Streamcluster,1772222775,26863,22364,32659,409200359,1772388021
Astar,1151327593,73465,68479,85128,16603498,1090366
Omnetpp,2380733638,89168,41612,106802,135306847,8346513
BFS,392473366,421540,420356,232884,412653,407706235
Canneal,1194237833,283545,182876,307896,154179,1200413802
XSBench,1593773246,273044,59306,265089,59729,1369130437
BTree,30821126,243614,242618,243700,236163,29336986
SVM,1923111910,84352061,84823971,83681105,1363701,1898701748
Hashjoin,242063104,371955,377303,213383,368971,222167608
Gups,34417469393,1960731,191080,1366433,224530,34434278356
